primary_key,store_id,store_name,product_id,product_name,brand,size,price,category
pakn_save_5253178-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5253178-EA-000,Coco Pops Chex Breakfast Cereal,Kellogg's,500g,4.99,Breakfast Cereals
pakn_save_5302626-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5302626-EA-000,Cocoa Puffs Breakfast Cereal,Pams,500g,3.69,Breakfast Cereals
pakn_save_5299989-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5299989-EA-000,Nutri-Grain Breakfast Cereal,Kellogg's,470g,4.99,Breakfast Cereals
pakn_save_5035008-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5035008-EA-000,Breakfast Cereal,Sanitarium Weet-Bix,1.2kg,5.99,Breakfast Cereals
pakn_save_5014712-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5014712-EA-000,Wild Berry Bites Breakfast Cereal,Sanitarium Weet-Bix,500g,5.99,Breakfast Cereals
pakn_save_5025408-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5025408-EA-000,Baked Beans In Tomato Sauce,Wattie's,3 x 420g,5.99,Canned Foods & Packets
pakn_save_5001946-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5001946-EA-000,Baked Beans In Tomato Sauce,Oak,420g,1.69,Canned Foods & Packets
pakn_save_5001949-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5001949-EA-000,Baked Beans In Tomato Sauce,Wattie's,420g,2.29,Canned Foods & Packets
pakn_save_5092719-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5092719-EA-000,Baked Beans In Tomato Sauce,Pams Value,400g,0.99,Canned Foods & Packets
pakn_save_5003663-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5003663-EA-000,Baked Beans In Rich Tomato Sauce,Pams,420g,1.49,Canned Foods & Packets
pakn_save_5092718-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5092718-EA-000,Chopped Tomatoes in Juice,Pams Value,400g,0.89,Canned Foods & Packets
pakn_save_5005953-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5005953-EA-000,Diced Tomatoes In Juice With Garlic And Oregano,Pams,400g,1.29,Canned Foods & Packets
pakn_save_5005955-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5005955-EA-000,Italian Diced Tomatoes,Pams,400g,1.29,Canned Foods & Packets
